StudentID,Name,Class,Marks_Math,Marks_Science,Marks_English,Attendance,Fees,Teacher,DateOfBirth,Gender,ParentContact,EnrollmentDate,Extracurricular,Scholarship,Address
1,Alice Johnson,10A,88,90,85,95,200,Mr. Smith,5/15/07,F,555-100-0001,9/1/21,Basketball,Yes,"123 Main St, Cityville"
2,Bob Smith,10B,92,89,90,90,210,Ms. Johnson,6/10/07,M,555-100-0002,9/1/21,Music,No,"456 Oak Ave, Townsville"
3,Charlie Brown,10C,79,82,78,85,190,Mrs. Brown,8/5/07,M,555-100-0003,9/1/21,Art,No,"789 Pine Rd, Village"
4,David Miller,10A,85,87,84,96,205,Mr. Smith,7/12/07,M,555-100-0004,9/1/21,Drama,Yes,"101 Maple St, Cityville"
5,Eva Davis,10B,94,93,95,98,215,Ms. Johnson,4/30/07,F,555-100-0005,9/1/21,Soccer,Yes,"202 Birch Rd, Townsville"
6,Frank Wilson,10C,76,80,77,88,195,Mrs. Brown,9/20/07,M,555-100-0006,9/1/21,Chess,No,"303 Cedar Ln, Village"
7,Grace Lee,10A,91,89,92,92,210,Mr. Smith,5/25/07,F,555-100-0007,9/1/21,Basketball,Yes,"404 Elm St, Cityville"
8,Hannah Kim,10B,87,90,88,94,220,Ms. Johnson,3/18/07,F,555-100-0008,9/1/21,Music,No,"505 Spruce Ave, Townsville"
9,Ian Thomas,10C,90,92,91,96,205,Mrs. Brown,7/7/07,M,555-100-0009,9/1/21,Art,Yes,"606 Walnut St, Village"
10,Jane Martin,10A,83,85,82,89,200,Mr. Smith,8/30/07,F,555-100-0010,9/1/21,Drama,No,"707 Chestnut Blvd, Cityville"
11,Kevin Garcia,10B,95,94,93,97,215,Ms. Johnson,6/22/07,M,555-100-0011,9/1/21,Soccer,Yes,"808 Ash St, Townsville"
12,Laura Rodriguez,10C,78,80,77,87,190,Mrs. Brown,5/11/07,F,555-100-0012,9/1/21,Chess,No,"909 Poplar Rd, Village"
13,Michael Martinez,10A,88,90,89,93,205,Mr. Smith,4/20/07,M,555-100-0013,9/1/21,Basketball,Yes,"1111 Main St, Cityville"
14,Nina Hernandez,10B,84,86,85,90,210,Ms. Johnson,7/15/07,F,555-100-0014,9/1/21,Music,No,"1212 Oak Ave, Townsville"
15,Oliver Lopez,10C,92,91,93,95,220,Mrs. Brown,8/10/07,M,555-100-0015,9/1/21,Art,Yes,"1313 Pine Rd, Village"
16,Paula Gonzalez,10A,86,88,87,88,200,Mr. Smith,9/5/07,F,555-100-0016,9/1/21,Drama,No,"1414 Maple St, Cityville"
17,Quentin Perez,10B,90,89,91,92,215,Ms. Johnson,3/29/07,M,555-100-0017,9/1/21,Soccer,Yes,"1515 Birch Rd, Townsville"
18,Rachel Moore,10C,89,90,88,93,210,Mrs. Brown,6/2/07,F,555-100-0018,9/1/21,Chess,No,"1616 Cedar Ln, Village"
19,Samuel Taylor,10A,82,83,81,91,205,Mr. Smith,7/27/07,M,555-100-0019,9/1/21,Basketball,No,"1717 Elm St, Cityville"
20,Tina Anderson,10B,96,95,97,97,220,Ms. Johnson,2/18/07,F,555-100-0020,9/1/21,Music,Yes,"1818 Spruce Ave, Townsville"
21,Uma Jackson,10C,87,88,86,90,195,Mrs. Brown,8/25/07,F,555-100-0021,9/1/21,Art,No,"1919 Walnut St, Village"
22,Victor White,10A,91,93,92,94,210,Mr. Smith,5/3/07,M,555-100-0022,9/1/21,Drama,Yes,"2020 Chestnut Blvd, Cityville"
23,Wendy Harris,10B,85,84,86,92,205,Ms. Johnson,6/15/07,F,555-100-0023,9/1/21,Soccer,No,"2121 Ash St, Townsville"
24,Xander Clark,10C,90,91,89,96,215,Mrs. Brown,7/8/07,M,555-100-0024,9/1/21,Chess,Yes,"2222 Poplar Rd, Village"
25,Yvonne Lewis,10A,88,87,89,93,200,Mr. Smith,8/12/07,F,555-100-0025,9/1/21,Basketball,No,"2323 Main St, Cityville"
26,Zachary Robinson,10B,82,83,80,89,210,Ms. Johnson,9/15/07,M,555-100-0026,9/1/21,Music,No,"2424 Oak Ave, Townsville"
27,Abby Walker,10C,95,96,94,97,220,Mrs. Brown,5/19/07,F,555-100-0027,9/1/21,Art,Yes,"2525 Pine Rd, Village"
28,Brian Young,10A,84,85,83,90,205,Mr. Smith,6/8/07,M,555-100-0028,9/1/21,Drama,No,"2626 Maple St, Cityville"
29,Catherine Hall,10B,89,88,90,92,210,Ms. Johnson,7/21/07,F,555-100-0029,9/1/21,Soccer,Yes,"2727 Birch Rd, Townsville"
30,Derek Allen,10C,90,91,92,94,215,Mrs. Brown,8/3/07,M,555-100-0030,9/1/21,Chess,No,"2828 Cedar Ln, Village"
31,Eliza King,10A,91,92,90,95,200,Mr. Smith,5/30/07,F,555-100-0031,9/1/21,Basketball,Yes,"2929 Elm St, Cityville"
32,Fiona Wright,10B,87,86,88,92,210,Ms. Johnson,6/25/07,F,555-100-0032,9/1/21,Music,No,"3030 Spruce Ave, Townsville"
33,George Scott,10C,85,84,83,90,205,Mrs. Brown,7/2/07,M,555-100-0033,9/1/21,Art,No,"3131 Walnut St, Village"
34,Holly Green,10A,93,94,92,96,220,Mr. Smith,4/17/07,F,555-100-0034,9/1/21,Drama,Yes,"3232 Chestnut Blvd, Cityville"
35,Isaac Adams,10B,78,79,77,88,195,Ms. Johnson,8/27/07,M,555-100-0035,9/1/21,Soccer,No,"3333 Ash St, Townsville"
36,Jasmine Baker,10C,90,91,89,93,210,Mrs. Brown,9/10/07,F,555-100-0036,9/1/21,Chess,Yes,"3434 Poplar Rd, Village"
37,Kyle Nelson,10A,92,93,91,94,205,Mr. Smith,5/8/07,M,555-100-0037,9/1/21,Basketball,No,"3535 Main St, Cityville"
38,Lila Carter,10B,86,87,85,90,200,Ms. Johnson,6/13/07,F,555-100-0038,9/1/21,Music,No,"3636 Oak Ave, Townsville"
39,Martin Mitchell,10C,89,90,88,93,210,Mrs. Brown,7/9/07,M,555-100-0039,9/1/21,Art,Yes,"3737 Pine Rd, Village"
40,Nora Roberts,10A,91,92,90,95,215,Mr. Smith,8/6/07,F,555-100-0040,9/1/21,Drama,No,"3838 Maple St, Cityville"
41,Owen Turner,10B,84,85,83,90,205,Ms. Johnson,9/14/07,M,555-100-0041,9/1/21,Soccer,No,"3939 Birch Rd, Townsville"
42,Penny Phillips,10C,88,87,89,92,210,Mrs. Brown,5/16/07,F,555-100-0042,9/1/21,Chess,Yes,"4040 Cedar Ln, Village"
43,Quincy Campbell,10A,90,91,92,94,220,Mr. Smith,6/4/07,M,555-100-0043,9/1/21,Basketball,Yes,"4141 Elm St, Cityville"
44,Rita Parker,10B,92,93,91,95,215,Ms. Johnson,7/19/07,F,555-100-0044,9/1/21,Music,No,"4242 Spruce Ave, Townsville"
45,Steven Evans,10C,87,86,88,90,205,Mrs. Brown,8/8/07,M,555-100-0045,9/1/21,Art,No,"4343 Walnut St, Village"
46,Tracy Edwards,10A,93,94,92,96,210,Mr. Smith,9/2/07,F,555-100-0046,9/1/21,Drama,Yes,"4444 Chestnut Blvd, Cityville"
47,Ulysses Collins,10B,85,84,83,91,200,Ms. Johnson,5/27/07,M,555-100-0047,9/1/21,Soccer,No,"4545 Ash St, Townsville"
48,Vanessa Stewart,10C,89,90,88,93,215,Mrs. Brown,6/30/07,F,555-100-0048,9/1/21,Chess,Yes,"4646 Poplar Rd, Village"
49,Walter Sanchez,10A,90,91,89,94,205,Mr. Smith,7/25/07,M,555-100-0049,9/1/21,Basketball,Yes,"4747 Main St, Cityville"
50,Xenia Morris,10B,88,87,90,92,210,Ms. Johnson,8/20/07,F,555-100-0050,9/1/21,Music,No,"4848 Oak Ave, Townsville"
